time, state, current
00:18.767, 1, 20
00:18.792, 1, 0
00:18.818, 1, 10
00:18.843, 1, 10
00:18.869, 1, 20
00:18.894, 1, 10
00:18.920, 1, 10
00:18.945, 1, 10
00:18.971, 1, 10
00:18.996, 1, 10
00:19.022, 1, 10
00:19.047, 1, 10
00:19.072, 1, 10
00:19.098, 1, 0
00:19.123, 1, 0
00:19.149, 1, 20
00:19.174, 1, 20
00:19.200, 1, 40
00:19.225, 1, 40
00:19.251, 1, 50
00:19.276, 1, 50
00:19.302, 1, 60
00:19.327, 1, 70
00:19.353, 1, 80
00:19.378, 1, 90
00:19.404, 1, 90
00:19.429, 1, 100
00:19.455, 2, 20
00:19.480, 2, 40
00:19.504, 2, 50
00:19.529, 2, 50
00:19.554, 2, 40
00:19.578, 2, 40
00:19.603, 2, 40
00:19.627, 2, 50
00:19.652, 2, 40
00:19.676, 2, 40
00:19.701, 2, 40
00:19.725, 2, 50
00:19.750, 2, 40
00:19.774, 2, 40
00:19.798, 2, 50
00:19.823, 2, 40
00:19.847, 2, 50
00:19.871, 2, 50
00:19.896, 2, 50
00:19.920, 2, 40
00:19.944, 2, 50
00:19.968, 2, 40
00:19.993, 2, 50
00:20.017, 2, 40
00:20.042, 2, 50
00:20.066, 2, 40
00:20.090, 2, 40
00:20.114, 2, 40
00:20.139, 2, 40
00:20.163, 2, 40
00:20.187, 2, 40
00:20.212, 2, 40
00:20.238, 2, 40
00:20.262, 2, 50
00:20.288, 2, 50
00:20.313, 2, 40
00:20.338, 2, 40
00:20.362, 2, 40
00:20.387, 2, 50
00:20.411, 2, 40
00:20.435, 2, 50
00:20.460, 2, 40
00:20.484, 2, 40
00:20.508, 2, 40
00:20.533, 2, 50
00:20.557, 2, 40
00:20.581, 2, 40
00:20.605, 2, 40
00:20.630, 2, 50
00:20.654, 2, 50
00:20.678, 2, 40
00:20.703, 2, 50
00:20.727, 2, 50
00:20.751, 2, 50
00:20.776, 2, 40
00:20.800, 2, 40
00:20.824, 2, 50
00:20.849, 2, 40
00:20.873, 2, 50
00:20.897, 2, 50
00:20.922, 2, 50
00:20.946, 2, 50
00:20.970, 2, 50
00:20.995, 2, 50
00:21.019, 2, 50
00:21.043, 2, 50
00:21.068, 2, 40
00:21.092, 2, 50
00:21.116, 2, 50
00:21.141, 2, 40
00:21.165, 2, 50
00:21.189, 2, 40
00:21.214, 2, 40
00:21.244, 1, 30
00:21.270, 1, 50
00:21.295, 1, 40
00:21.320, 1, 50
00:21.346, 1, 30
00:21.371, 1, 50
00:21.396, 1, 60
00:21.422, 1, 50
00:21.447, 1, 20
00:21.472, 1, 0
00:21.498, 1, 0
00:21.523, 1, 40
00:21.548, 1, 0
00:21.574, 1, 30
00:21.599, 1, 20
00:21.624, 1, 30
00:21.650, 1, 40
00:21.675, 1, 20
00:21.701, 1, 40
00:21.726, 1, 10
00:21.751, 1, 30
00:21.777, 1, 20
00:21.802, 1, 20
00:21.827, 1, 40
00:21.853, 1, 10
00:21.878, 1, 10
00:21.903, 1, 10
00:21.929, 1, 10
00:21.954, 1, 40
00:21.980, 1, 30
00:22.005, 1, 30
00:22.030, 1, 20
00:22.056, 1, 0
00:22.081, 1, 0
00:22.106, 1, 10
00:22.132, 1, 40
00:22.157, 1, 20
00:22.182, 1, 20
00:22.208, 1, 10
00:22.233, 1, 30
00:22.259, 1, 20
00:22.284, 1, 30
00:22.310, 1, 40
00:22.335, 1, 10
00:22.360, 1, 10
00:22.386, 1, 170
00:22.411, 1, 160
00:22.436, 1, 170
00:22.462, 0, 10
00:22.485, 0, 0
00:22.508, 0, 0
00:22.532, 0, 0
00:22.555, 0, 0
00:22.578, 0, 0
00:22.601, 0, 0
00:22.625, 0, 0
00:22.648, 0, 0
00:22.671, 0, 0
00:22.695, 0, 0
00:22.718, 0, 0
00:22.741, 0, 0
00:22.764, 0, 0
00:22.788, 0, 0
00:22.811, 0, 0
00:22.834, 0, 0
00:22.857, 0, 0
00:22.881, 0, 0
00:22.904, 0, 0
00:22.927, 0, 0
00:22.950, 0, 0
00:22.974, 0, 0
00:22.997, 0, 0
00:23.020, 0, 0
00:23.044, 0, 0
00:23.067, 0, 0
00:23.090, 0, 0
00:23.113, 0, 0
00:23.137, 0, 0
00:23.160, 0, 0
00:23.183, 0, 0
00:23.206, 0, 0
00:23.230, 0, 0
00:23.253, 0, 0
00:23.276, 0, 0
00:23.299, 0, 0
00:23.323, 0, 0
00:23.346, 0, 0
00:23.369, 0, 0
00:23.393, 0, 0
00:23.416, 0, 0
00:23.439, 0, 0
00:23.462, 0, 0
00:23.486, 0, 0
00:23.509, 0, 0
00:23.532, 0, 0
00:23.555, 0, 0
00:23.579, 0, 0
00:23.602, 0, 0
00:23.625, 0, 0
00:23.648, 0, 0
00:23.672, 0, 0
00:23.695, 0, 0
00:23.718, 0, 0
00:23.742, 0, 0
00:23.765, 0, 0
00:23.788, 0, 0
00:23.811, 0, 0
00:23.835, 0, 0
00:23.858, 0, 0
00:23.881, 0, 0
00:23.905, 0, 0
00:23.928, 0, 0
00:23.951, 0, 0
00:23.974, 0, 0
00:23.998, 0, 0
00:24.021, 0, 0
00:24.044, 0, 0
00:24.067, 0, 0
00:24.091, 0, 0
00:24.114, 0, 0
00:24.137, 0, 0
00:24.160, 0, 0
00:24.184, 0, 0
00:24.207, 0, 0
00:24.230, 0, 0
00:24.259, 0, 0
00:24.284, 1, 40
